playlist_name,num_tracks,track_name,track_duration,track_explicit,track_popularity,acousticness,danceability,energy,instrumentalness,key,loudness,mode,tempo,valence,artist1_name,artist2_name,artist3_name,album_name,album_type,album_popularity,album_release_date,genres,pop,indie,rock,edm,hip hop,dance,avg_artist_following,avg_artist_popularity,single
FIFA 19 Soundtrack,44,Violet City,213515,0,0,0.0642,0.596,0.784,0.139,3,-6.723,0,162.019,0.43200000000000005,Mansionair,,,Violet City,single,0,2018-04-05,"['aussietronica', 'australian indie', 'electropop', 'indietronica', 'modern rock', 'vapor soul']",1,1,1,1,0,0,125445.0,62.0,1
FIFA 19 Soundtrack,44,Consistent,182053,1,40,0.00975,0.527,0.605,3.11e-06,5,-5.132999999999999,0,76.24600000000001,0.336,No/Me,,,Consistent,single,33,2018-09-07,[],0,0,0,0,0,0,1141.0,29.0,1
FIFA 19 Soundtrack,44,Drama (feat. Big Data),218386,0,4,0.0957,0.638,0.782,0.000585,5,-7.066,1,99.03399999999999,0.493,NoMBe,,,Drama (feat. Big Data),single,1,2018-02-22,"['electropop', 'indie poptimism', 'indietronica', 'modern alternative rock', 'modern rock', 'vapor soul']",1,1,1,1,0,0,139405.0,64.0,1
FIFA 19 Soundtrack,44,Tom & Jerry,206250,1,50,0.10300000000000001,0.634,0.645,0.0,2,-11.285,1,98.624,0.475,Ocean Wisdom,,,Wizville,album,57,2018-02-23,"['grime', 'uk alternative hip hop', 'uk hip hop']",0,0,0,0,1,0,113514.0,58.0,0
FIFA 19 Soundtrack,44,Lightning,235342,1,49,0.00521,0.711,0.525,0.0103,11,-12.149000000000001,1,129.957,0.0434,Octavian,,,SPACEMAN,album,52,2018-09-10,"['afroswing', 'grime', 'london rap', 'uk alternative hip hop', 'uk hip hop']",0,0,0,0,1,0,160099.0,67.0,0
FIFA 19 Soundtrack,44,It Makes You Forget (Itgehane),395416,0,50,0.015,0.797,0.922,0.578,0,-9.686,1,125.001,0.583,Peggy Gou,,,It Makes You Forget (Itgehane),single,55,2018-01-23,"['electra', 'float house']",0,0,0,1,0,0,263267.0,61.0,1
FIFA 19 Soundtrack,44,Play God,226967,0,58,0.131,0.7,0.677,0.0491,10,-7.206,0,94.38799999999999,0.614,Sam Fender,,,Play God,single,51,2017-05-31,"['english indie rock', 'modern alternative rock', 'modern rock', 'north east england indie', 'rock']",0,1,1,0,0,0,267026.0,66.0,1
FIFA 19 Soundtrack,44,Truth Is,188022,0,0,0.0741,0.613,0.7290000000000001,0.0,1,-4.321000000000001,1,97.964,0.536,Stealth,,,Truth Is,single,0,2018-09-07,[],0,0,0,0,0,0,14339.0,49.0,1
FIFA 19 Soundtrack,44,Where No One Knows Your Name,241240,0,0,0.33,0.474,0.5379999999999999,0.0063,0,-8.305,0,138.041,0.106,Stereo Honey,,,Where No One Knows Your Name,single,0,2017-01-27,['english indie rock'],0,1,1,0,0,0,10505.0,37.0,1
FIFA 19 Soundtrack,44,Blue Light,222106,0,39,0.00775,0.506,0.61,0.0938,4,-11.224,0,147.455,0.382,SUN SILVA,,,Blue Light,single,32,2018-09-03,[],0,0,0,0,0,0,1607.0,28.0,1
